,paid work,education,Care for household members ,Housework,Shopping,Other unpaid work & volunteering,Sleep,Eating and drinking,Personal care,Sports,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Latvia,Seeing friends,35
,,,,,,,,,,,,,,,,,,Lithuania,Seeing friends,32
,,,,,,,,,,,,,,,,,,Luxembourg,Seeing friends,32
,,,,,,,,,,,,,,,,,,Mexico,Seeing friends,44
,,,,,,,,,,,,,,,,,,Netherlands,Seeing friends,73
,,,,,,,,,,,,,,,,,,New Zealand,Seeing friends,69
,,,,,,,,,,,,,,,,,,Norway ,Seeing friends,57
,,,,,,,,,,,,,,,,,,Poland,Seeing friends,45
,,,,,,,,,,,,,,,,,,Portugal,Seeing friends,44
,,,,,,,,,,,,,,,,,,Slovenia,Seeing friends,62
,,,,,,,,,,,,,,,,,,Spain,Seeing friends,51
,,,,,,,,,,,,,,,,,,Sweden,Seeing friends,53
,,,,,,,,,,,,,,,,,,Turkey,Seeing friends,68
,,,,,,,,,,,,,,,,,,UK,Seeing friends,47
,,,,,,,,,,,,,,,,,,USA,Seeing friends,44
,,,,,,,,,,,,,,,,,,China,Seeing friends,23
,,,,,,,,,,,,,,,,,,India,Seeing friends,73
,,,,,,,,,,,,,,,,,,South Africa,Seeing friends,82
,,,,,,,,,,,,,,,,,,Australia,TV and Radio,140
,,,,,,,,,,,,,,,,,,Austria,TV and Radio,109
,,,,,,,,,,,,,,,,,,Belgium,TV and Radio,131
,,,,,,,,,,,,,,,,,,Canada,TV and Radio,109
,,,,,,,,,,,,,,,,,,Denmark,TV and Radio,123
,,,,,,,,,,,,,,,,,,Estonia,TV and Radio,122
,,,,,,,,,,,,,,,,,,Finland,TV and Radio,118
,,,,,,,,,,,,,,,,,,France,TV and Radio,114
,,,,,,,,,,,,,,,,,,Germany,TV and Radio,118
,,,,,,,,,,,,,,,,,,Greece,TV and Radio,137
,,,,,,,,,,,,,,,,,,Hungary,TV and Radio,134
,,,,,,,,,,,,,,,,,,Ireland,TV and Radio,85
,,,,,,,,,,,,,,,,,,Italy ,TV and Radio,104
,,,,,,,,,,,,,,,,,,Japan,TV and Radio,103
,,,,,,,,,,,,,,,,,,Korea,TV and Radio,102
,,,,,,,,,,,,,,,,,,Latvia,TV and Radio,123
,,,,,,,,,,,,,,,,,,Lithuania,TV and Radio,137
,,,,,,,,,,,,,,,,,,Luxembourg,TV and Radio,116
,,,,,,,,,,,,,,,,,,Mexico,TV and Radio,66
,,,,,,,,,,,,,,,,,,Netherlands,TV and Radio,113
,,,,,,,,,,,,,,,,,,New Zealand,TV and Radio,124
,,,,,,,,,,,,,,,,,,Norway ,TV and Radio,129
,,,,,,,,,,,,,,,,,,Poland,TV and Radio,122
,,,,,,,,,,,,,,,,,,Portugal,TV and Radio,114
,,,,,,,,,,,,,,,,,,Slovenia,TV and Radio,120
,,,,,,,,,,,,,,,,,,Spain,TV and Radio,129
,,,,,,,,,,,,,,,,,,Sweden,TV and Radio,113
,,,,,,,,,,,,,,,,,,Turkey,TV and Radio,124
,,,,,,,,,,,,,,,,,,UK,TV and Radio,133
,,,,,,,,,,,,,,,,,,USA,TV and Radio,148
,,,,,,,,,,,,,,,,,,China,TV and Radio,127
,,,,,,,,,,,,,,,,,,India,TV and Radio,61
,,,,,,,,,,,,,,,,,,South Africa,TV and Radio,132
,,,,,,,,,,,,,,,,,,Australia,Other leisure activities,76
,,,,,,,,,,,,,,,,,,Austria,Other leisure activities,59
,,,,,,,,,,,,,,,,,,Belgium,Other leisure activities,122
,,,,,,,,,,,,,,,,,,Canada,Other leisure activities,89
,,,,,,,,,,,,,,,,,,Denmark,Other leisure activities,95
,,,,,,,,,,,,,,,,,,Estonia,Other leisure activities,114
,,,,,,,,,,,,,,,,,,Finland,Other leisure activities,113
,,,,,,,,,,,,,,,,,,France,Other leisure activities,98
,,,,,,,,,,,,,,,,,,Germany,Other leisure activities,112
,,,,,,,,,,,,,,,,,,Greece,Other leisure activities,115
,,,,,,,,,,,,,,,,,,Hungary,Other leisure activities,94
,,,,,,,,,,,,,,,,,,Ireland,Other leisure activities,116
,,,,,,,,,,,,,,,,,,Italy ,Other leisure activities,110
,,,,,,,,,,,,,,,,,,Japan,Other leisure activities,148
,,,,,,,,,,,,,,,,,,Korea,Other leisure activities,82
,,,,,,,,,,,,,,,,,,Latvia,Other leisure activities,81
,,,,,,,,,,,,,,,,,,Lithuania,Other leisure activities,61
,,,,,,,,,,,,,,,,,,Luxembourg,Other leisure activities,82
,,,,,,,,,,,,,,,,,,Mexico,Other leisure activities,41
,,,,,,,,,,,,,,,,,,Netherlands,Other leisure activities,101
,,,,,,,,,,,,,,,,,,New Zealand,Other leisure activities,85
,,,,,,,,,,,,,,,,,,Norway ,Other leisure activities,154
,,,,,,,,,,,,,,,,,,Poland,Other leisure activities,93
,,,,,,,,,,,,,,,,,,Portugal,Other leisure activities,60
,,,,,,,,,,,,,,,,,,Slovenia,Other leisure activities,92
,,,,,,,,,,,,,,,,,,Spain,Other leisure activities,85
,,,,,,,,,,,,,,,,,,Sweden,Other leisure activities,112
,,,,,,,,,,,,,,,,,,Turkey,Other leisure activities,82
,,,,,,,,,,,,,,,,,,UK,Other leisure activities,98
,,,,,,,,,,,,,,,,,,USA,Other leisure activities,73
,,,,,,,,,,,,,,,,,,China,Other leisure activities,53
,,,,,,,,,,,,,,,,,,India,Other leisure activities,109
,,,,,,,,,,,,,,,,,,South Africa,Other leisure activities,82
